countYear,year,annual_avg,nine_yr_avg
-4,1895,-0.118333333,-0.072910156
-3,1896,0.2225,-0.069573568
-2,1897,-0.4525,-0.073688151
-1,1898,0.101666667,-0.090869141
0,1899,0.02,-0.170442708
1,1900,-0.0475,-0.299860026
2,1901,-1.144166667,-0.312021484
3,1902,-0.840833333,-0.052233073
4,1903,1.705,0.448313802
5,1904,-0.031666667,1.118837891
6,1905,1.553333333,1.94703125
7,1906,3.608333333,2.731914063
8,1907,4.315,2.992864583
9,1908,3.363333333,2.369781901
10,1909,1.8175,1.105299479
11,1910,-2.465833333,0.015338542
12,1911,-2.398333333,-0.250182292
13,1912,2.6125,0.141246745
14,1913,0.485,0.613958333
15,1914,-0.27,0.921731771
16,1915,2.091666667,1.00789388
17,1916,2.3975,0.717148438
18,1917,-0.640833333,0.230485026
19,1918,-2.930833333,0.133235677
20,1919,1.7725,0.545517578
21,1920,3.469166667,0.868603516
22,1921,-0.545833333,0.71179362
23,1922,-0.47,0.321132813
24,1923,1.145833333,-0.019501953
25,1924,-0.386666667,-0.215520833
26,1925,-2.058333333,-0.04781901
27,1926,0.4175,0.602949219
28,1927,2.823333333,1.278453776
29,1928,2.774166667,1.247412109
30,1929,1.090833333,0.326383464
31,1930,-1.983333333,-0.8746875
32,1931,-4.178333333,-1.677200521
33,1932,0.075833333,-2.133723958
34,1933,-1.039166667,-2.70186849
35,1934,-6.6775,-3.320677083
36,1935,-3.103333333,-3.472363281
37,1936,-3.5325,-3.013336589
38,1937,-2.320833333,-2.384023438
39,1938,0.075,-2.025611979
40,1939,-2.88,-1.789163411
41,1940,-4.238333333,-1.126822917
42,1941,1.6675,0.003557943
43,1942,3.1875,0.931699219
44,1943,0.8775,1.249580078
45,1944,-0.154166667,1.313277995
46,1945,2.056666667,1.513795573
47,1946,2.371666667,1.72265625
48,1947,2.1375,1.690218099
49,1948,0.819166667,1.481119792
50,1949,1.244166667,1.269641927
51,1950,1.329166667,0.959876302
52,1951,1.683333333,0.247405599
53,1952,-0.9375,-0.960198568
54,1953,-2.883333333,-2.31061849
55,1954,-4.345,-3.19453776
56,1955,-4.465,-3.112779948
57,1956,-3.595,-2.042135417
58,1957,0.904166667,-0.608935547
59,1958,2.735833333,0.351982422
60,1959,-0.335,0.564983724
61,1960,0.010833333,0.344586589
62,1961,0.890833333,-0.047913411
63,1962,0.020833333,-0.539752604
64,1963,-2.929166667,-0.908300781
65,1964,-1.0625,-0.918522135
66,1965,0.708333333,-0.62742513
67,1966,-1.764166667,-0.162454427
68,1967,0.435,0.457880859
69,1968,1.795833333,1.066269531
70,1969,2.501666667,1.381298828
71,1970,0.7425,1.466894531
72,1971,0.603333333,1.745065104
73,1972,1.979166667,2.394775391
74,1973,4.8475,3.008681641
75,1974,3.474166667,2.991497396
76,1975,3.718333333,2.206471354
77,1976,-0.348333333,1.174261068
78,1977,-1.150833333,0.57289388
79,1978,0.919166667,0.525084635
80,1979,2.23,0.643850911
81,1980,-0.398333333,0.817822266
82,1981,-0.755,1.387460938
83,1982,3.3725,2.35296875
84,1983,5.010833333,3.05469401
85,1984,3.9475,2.931497396
86,1985,0.960833333,2.06860026
87,1986,2.135833333,0.86063151
88,1987,-0.57,-0.296126302
89,1988,-3.51,-0.94773763
90,1989,-0.851666667,-0.805817057
91,1990,0.030833333,-0.044977214
92,1991,1.150833333,0.931292318
93,1992,1.185,1.826897786
94,1993,4.37,2.455146484
95,1994,2.138333333,2.763297526
96,1995,2.795833333,2.879729818
97,1996,2.789166667,2.837281901
98,1997,4.295833333,2.349287109
99,1998,1.553333333,1.152057292
100,1999,-0.138333333,-0.476474609
101,2000,-4.435833333,-1.757936198
102,2001,-2.870833333,-2.050390625
103,2002,-2.058333333,-1.409501953
104,2003,0.583333333,-0.523841146
105,2004,1.3075,-0.120159505
106,2005,0.089166667,-0.350983073
107,2006,-2.215833333,-0.705572917
108,2007,-1.651666667,-0.576110026
109,2008,0.346666667,0.085670573
110,2009,1.250833333,0.692213542
111,2010,3.05,0.610465495
112,2011,-0.1575,-0.092431641
113,2012,-4.005833333,-0.629039714
114,2013,-0.224166667,-0.416432292
115,2014,1.231666667,0.280732422
116,2015,1.1675,0.862480469
